Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
8/1/2023,0:00,6.246,-,7.08
8/1/2023,1:00,6.116,-,6.79
8/1/2023,2:00,5.245,-,5.83
8/1/2023,3:00,3.887,-,4.39
8/1/2023,4:00,2.367,-,2.92
8/1/2023,5:00,1.001,-,1.4
8/1/2023,6:00,0.161,-,0.49
8/1/2023,7:00,0.04,-,0.27
8/1/2023,8:00,0.519,-,0.79
8/1/2023,9:00,1.415,-,1.68
8/1/2023,10:00,2.578,-,2.94
8/1/2023,11:00,3.731,-,4.24
8/1/2023,12:00,4.541,-,5.15
8/1/2023,13:00,4.752,-,5.41
8/1/2023,14:00,4.263,-,5.03
8/1/2023,15:00,3.223,-,3.95
8/1/2023,16:00,1.941,-,2.58
8/1/2023,17:00,0.721,-,1.33
8/1/2023,18:00,-0.079,-,0.33
8/1/2023,19:00,-0.153,-,0.3
8/1/2023,20:00,0.486,-,1.06
8/1/2023,21:00,1.627,-,2.09
8/1/2023,22:00,3.091,-,3.6
8/1/2023,23:00,4.624,-,5.22
8/2/2023,0:00,5.853,-,6.57
8/2/2023,1:00,6.448,-,7.29
8/2/2023,2:00,6.218,-,7.02
8/2/2023,3:00,5.21,-,5.97
8/2/2023,4:00,3.722,-,4.39
8/2/2023,5:00,2.099,-,2.74
8/2/2023,6:00,0.701,-,1.26
8/2/2023,7:00,-0.087,-,0.34
8/2/2023,8:00,-0.112,-,0.18
8/2/2023,9:00,0.477,-,0.79
8/2/2023,10:00,1.503,-,1.88
8/2/2023,11:00,2.792,-,3.2
8/2/2023,12:00,4.025,-,4.55
8/2/2023,13:00,4.845,-,5.37
8/2/2023,14:00,4.992,-,5.61
8/2/2023,15:00,4.386,-,5.02
8/2/2023,16:00,3.223,-,3.83
8/2/2023,17:00,1.836,-,2.47
8/2/2023,18:00,0.559,-,1.05
8/2/2023,19:00,-0.225,-,0.15
8/2/2023,20:00,-0.236,-,0.15
8/2/2023,21:00,0.469,-,0.94
8/2/2023,22:00,1.68,-,2.08
8/2/2023,23:00,3.214,-,3.66
8/3/2023,0:00,4.784,-,5.33
8/3/2023,1:00,5.993,-,6.58
8/3/2023,2:00,6.506,-,7.15
8/3/2023,3:00,6.148,-,6.74
8/3/2023,4:00,5.017,-,5.7
8/3/2023,5:00,3.442,-,4.07
8/3/2023,6:00,1.785,-,2.35
8/3/2023,7:00,0.429,-,0.87
8/3/2023,8:00,-0.25,-,-0.03
8/3/2023,9:00,-0.152,-,0.14
8/3/2023,10:00,0.553,-,0.9
8/3/2023,11:00,1.696,-,2.06
8/3/2023,12:00,3.076,-,3.47
8/3/2023,13:00,4.34,-,4.78
8/3/2023,14:00,5.122,-,5.66
8/3/2023,15:00,5.17,-,5.79
8/3/2023,16:00,4.446,-,5.12
8/3/2023,17:00,3.19,-,3.86
8/3/2023,18:00,1.75,-,2.36
8/3/2023,19:00,0.47,-,1
8/3/2023,20:00,-0.261,-,0.16
8/3/2023,21:00,-0.206,-,0.19
8/3/2023,22:00,0.54,-,0.97
8/3/2023,23:00,1.779,-,2.23
8/4/2023,0:00,3.327,-,3.77
8/4/2023,1:00,4.868,-,5.33
8/4/2023,2:00,5.995,-,6.51
8/4/2023,3:00,6.385,-,6.87
8/4/2023,4:00,5.9,-,6.31
8/4/2023,5:00,4.685,-,5.1
8/4/2023,6:00,3.092,-,3.55
8/4/2023,7:00,1.48,-,1.96
8/4/2023,8:00,0.233,-,0.61
8/4/2023,9:00,-0.3,-,-0.07
8/4/2023,10:00,-0.073,-,0.23
8/4/2023,11:00,0.735,-,1.08
8/4/2023,12:00,1.966,-,2.35
8/4/2023,13:00,3.389,-,3.82
8/4/2023,14:00,4.632,-,5.05
8/4/2023,15:00,5.333,-,5.85
8/4/2023,16:00,5.269,-,5.88
8/4/2023,17:00,4.451,-,5.11
8/4/2023,18:00,3.156,-,3.91
8/4/2023,19:00,1.721,-,2.48
8/4/2023,20:00,0.484,-,1.07
8/4/2023,21:00,-0.175,-,0.18
8/4/2023,22:00,-0.07,-,0.38
8/4/2023,23:00,0.68,-,1.24
8/5/2023,0:00,1.896,-,2.25
8/5/2023,1:00,3.396,-,3.86
8/5/2023,2:00,4.843,-,5.23
8/5/2023,3:00,5.84,-,6.27
8/5/2023,4:00,6.092,-,6.56
8/5/2023,5:00,5.505,-,5.96
8/5/2023,6:00,4.269,-,4.78
8/5/2023,7:00,2.733,-,3.21
8/5/2023,8:00,1.231,-,1.66
8/5/2023,9:00,0.139,-,0.53
8/5/2023,10:00,-0.234,-,0.07
8/5/2023,11:00,0.11,-,0.48
8/5/2023,12:00,0.995,-,1.39
8/5/2023,13:00,2.272,-,2.61
8/5/2023,14:00,3.687,-,4.11
8/5/2023,15:00,4.86,-,5.4
8/5/2023,16:00,5.456,-,6.02
8/5/2023,17:00,5.29,-,5.89
8/5/2023,18:00,4.425,-,5.09
8/5/2023,19:00,3.147,-,3.86
8/5/2023,20:00,1.766,-,2.4
