Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
5/1/2023,0:00,3.309,-,5.31
5/1/2023,1:00,2.484,-,4.46
5/1/2023,2:00,1.621,-,3.46
5/1/2023,3:00,0.998,-,2.84
5/1/2023,4:00,0.845,-,2.45
5/1/2023,5:00,1.131,-,2.29
5/1/2023,6:00,1.745,-,2.64
5/1/2023,7:00,2.608,-,3.51
5/1/2023,8:00,3.531,-,4.35
5/1/2023,9:00,4.248,-,5.34
5/1/2023,10:00,4.558,-,5.52
5/1/2023,11:00,4.367,-,5.48
5/1/2023,12:00,3.748,-,4.73
5/1/2023,13:00,2.883,-,3.77
5/1/2023,14:00,1.922,-,3.17
5/1/2023,15:00,1.088,-,2.34
5/1/2023,16:00,0.667,-,1.66
5/1/2023,17:00,0.736,-,1.73
5/1/2023,18:00,1.191,-,2.21
5/1/2023,19:00,1.965,-,2.98
5/1/2023,20:00,2.937,-,3.97
5/1/2023,21:00,3.847,-,4.79
5/1/2023,22:00,4.434,-,5.3
5/1/2023,23:00,4.526,-,5.44
5/2/2023,0:00,4.095,-,4.94
5/2/2023,1:00,3.297,-,4.15
5/2/2023,2:00,2.315,-,3.08
5/2/2023,3:00,1.354,-,2.21
5/2/2023,4:00,0.728,-,1.63
5/2/2023,5:00,0.639,-,1.73
5/2/2023,6:00,1.018,-,1.89
5/2/2023,7:00,1.747,-,2.59
5/2/2023,8:00,2.719,-,3.39
5/2/2023,9:00,3.7,-,4.44
5/2/2023,10:00,4.407,-,5.33
5/2/2023,11:00,4.636,-,5.54
5/2/2023,12:00,4.313,-,5.49
5/2/2023,13:00,3.552,-,4.27
5/2/2023,14:00,2.564,-,3.19
5/2/2023,15:00,1.537,-,2.29
5/2/2023,16:00,0.741,-,1.58
5/2/2023,17:00,0.456,-,1.39
5/2/2023,18:00,0.705,-,1.78
5/2/2023,19:00,1.357,-,2.43
5/2/2023,20:00,2.321,-,3.4
5/2/2023,21:00,3.421,-,4.58
5/2/2023,22:00,4.359,-,5.46
5/2/2023,23:00,4.87,-,6
5/3/2023,0:00,4.794,-,5.74
5/3/2023,1:00,4.155,-,5.05
5/3/2023,2:00,3.158,-,4
5/3/2023,3:00,2.023,-,2.88
5/3/2023,4:00,1.004,-,1.95
5/3/2023,5:00,0.434,-,1.36
5/3/2023,6:00,0.464,-,1.47
5/3/2023,7:00,0.979,-,1.98
5/3/2023,8:00,1.843,-,2.73
5/3/2023,9:00,2.915,-,3.84
5/3/2023,10:00,3.92,-,4.71
5/3/2023,11:00,4.565,-,5.41
5/3/2023,12:00,4.658,-,5.61
5/3/2023,13:00,4.159,-,5.16
5/3/2023,14:00,3.238,-,4.25
5/3/2023,15:00,2.142,-,3.22
5/3/2023,16:00,1.097,-,2.06
5/3/2023,17:00,0.41,-,1.39
5/3/2023,18:00,0.325,-,1.31
5/3/2023,19:00,0.8,-,1.82
5/3/2023,20:00,1.67,-,2.83
5/3/2023,21:00,2.81,-,3.95
5/3/2023,22:00,3.99,-,5.16
5/3/2023,23:00,4.891,-,6.19
5/4/2023,0:00,5.254,-,6.49
5/4/2023,1:00,4.953,-,6.02
5/4/2023,2:00,4.076,-,5.02
5/4/2023,3:00,2.884,-,3.89
5/4/2023,4:00,1.636,-,2.66
5/4/2023,5:00,0.625,-,1.54
5/4/2023,6:00,0.178,-,0.96
5/4/2023,7:00,0.372,-,1.3
5/4/2023,8:00,1.043,-,1.97
5/4/2023,9:00,2.036,-,3.05
5/4/2023,10:00,3.172,-,4.13
5/4/2023,11:00,4.147,-,5.14
5/4/2023,12:00,4.674,-,5.71
5/4/2023,13:00,4.584,-,5.72
5/4/2023,14:00,3.89,-,5.05
5/4/2023,15:00,2.822,-,3.98
5/4/2023,16:00,1.662,-,2.81
5/4/2023,17:00,0.67,-,1.79
5/4/2023,18:00,0.163,-,1.32
5/4/2023,19:00,0.326,-,1.55
5/4/2023,20:00,1.041,-,2.24
5/4/2023,21:00,2.112,-,3.27
5/4/2023,22:00,3.379,-,4.62
5/4/2023,23:00,4.572,-,5.9
5/5/2023,0:00,5.365,-,6.71
5/5/2023,1:00,5.519,-,6.87
5/5/2023,2:00,4.961,-,6.21
5/5/2023,3:00,3.852,-,4.97
5/5/2023,4:00,2.507,-,3.65
5/5/2023,5:00,1.213,-,2.34
5/5/2023,6:00,0.287,-,1.37
5/5/2023,7:00,0.016,-,1
5/5/2023,8:00,0.394,-,1.39
5/5/2023,9:00,1.211,-,2.16
5/5/2023,10:00,2.297,-,3.23
5/5/2023,11:00,3.444,-,4.32
5/5/2023,12:00,4.334,-,5.23
