%Site#,Python#, Site Code, Longitude, Latitude, Frequency, APM Start, APM End,AngSeg Start,AngSeg End
,,,,,,,,,
1,0,NAUS,-69.9472,41.8443,5,,,,
,,,,,,,,,
2,1,NANT,-69.9719,41.2498,5,,,,
,,,,,,,,,
3,2,MVCO,-70.5268,41.3498,5,,,,
,,,,,,,,,
4,3,BLCK,-71.5509,41.1527,5,,,,
,,,,,,,,,
5,4,AMAG,-72.1239,40.9692,5,90,230,100,225
,,,,,,,,,
6,5,MRCH,-72.7455,40.7887,5,80,235,90,220
,,,,,,,,,
7,6,HEMP,-73.5894,40.587,5,105,240,100,200
,,,,,,,,,
8,7,HOOK,-73.9838,40.4332,5,45,160,80,160
,,,,,,,,,
9,8,LOVE,-74.1171,39.7362,5,10,210,35,195
,,,,,,,,,
10,9,BRIG,-74.3621,39.4074,5,60,205,80,190
,,,,,,,,,
11,10,WILD,-74.8532,38.9537,5,60,215,60,190
,,,,,,,,,
12,11,ASSA,-75.1529,38.205,5,,,,
,,,,,,,,,
13,12,CEDR,-75.5923,37.6729,5,,,,
,,,,,,,,,
14,13,LISL,-75.9226,36.6917,5,,,,
,,,,,,,,,
15,14,JENN,-75.596,35.9096,5,,,,
,,,,,,,,,
16,15,HATY,-75.5199,35.2572,5,,,,
,,,,,,,,,
17,16,OCRA,-75.9604,35.103,5,,,,
,,,,,,,,,
18,17,CORE,-76.4114,34.7601,5,,,,
,,,,,,,,,
19,18,SEAB,-73.9727,40.3617,13,20,165,25,140
,,,,,,,,,
20,19,BRAD,-74.0052,40.1961,13,30,175,35,170
,,,,,,,,,
21,20,SPRK,-74.072,39.9352,13,25,170,30,170
,,,,,,,,,
22,21,BRNT,-74.1984,39.6154,13,55,185,60,175
,,,,,,,,,
23,22,HLGT,-74.261983,39.532017,13,,,35,210
,,,,,,,,,
24,23,BRMR,-74.3621,39.4073,13,65,210,75,200
,,,,,,,,,
25,24,RATH,-74.6526,39.1987,13,50,205,55,190
,,,,,,,,,
26,25,WOOD,-74.7931,38.9877,13,45,210,65,210
,,,,,,,,,
27,26,CMPT,-74.9608,38.9314,25,,,,
,,,,,,,,,
28,27,SILD,-74.1245,40.5436,25,50,210,60,210
,,,,,,,,,
29,28,PORT,-74.0994,40.4413,25,310,85,315,80
,,,,,,,,,
30,29,OLDB,-74.2535,40.4621,25,55,85,17,84
,,,,,,,,,
31,30,MISQ,-71.8042,41.3229,25,,,,
,,,,,,,,,
32,31,BISL,-71.5518,41.1526,25,,,,
,,,,,,,,,
33,32,MNTK,-71.8567,41.071,25,,,,
,,,,,,,,,
34,33,STLI,-73.5873,40.9087,25,,,,
,,,,,,,,,
35,34,GCAP,-73.6238,40.9826,25,,,,
,,,,,,,,,
36,35,CAPE,-74.9124,39.0738,25,205,40,210,300
,,,,,,,,,
37,36,LEWE,-75.12825,38.781783,25,310,60,305,75
,,,,,,,,,
38,37,HLPN,-75.0889,38.7936,25,355,135,15,135
,,,,,,,,,
39,38,VIEW,-76.2432,36.9499,25,,,,
,,,,,,,,,
40,39,CPHN,-76.0168,36.9308,25,,,,
,,,,,,,,,
41,40,SUNS,-75.9722,37.1372,25,,,,
,,,,,,,,,
42,41,METS,-70.5209,41.3595,25,,,,
,,,,,,,,,
43,42,SQUB,-70.7675,41.3065,25,,,,
,,,,,,,,,
44,43,CPVN,-71.4319,41.448,16,,,,
,,,,,,,,,
45,44,HBSR,-71.0687,41.5088,16,,,,
,,,,,,,,,
46,45,FOCF,-70.7049,42.1599,25,,,,
,,,,,,,,,
47,46,ESPT,-70.6506,42.5862,25,,,,
,,,,,,,,,
48,47,SBSR,-70.8145,42.8289,5,,,,
,,,,,,,,,
49,48,PTWN,-70.2215,42.0795,13,,,,
,,,,,,,,,
50,49,RUCOOL,-74.4373,40.4795,5,,,,
,,,,,,,,,
51,50,GRHD,-74.324,39.5091,5,,,,
,,,,,,,,,
52,51,CDDO,-67.1905,18.1,13,,,,
,,,,,,,,,
53,52,FURA,-67.1984,18.2919,13,,,,
,,,,,,,,,
54,53,FARO,-67.192,17.9334,5,,,,
,,,,,,,,,
55,54,PYFC,-66.6183,17.9628,5,,,,
,,,,,,,,,
56,55,MABO,-65.885,17.9881,5,,,,
,,,,,,,,,
57,56,TEST,-73.9836,40.4301,13,,,,
